Frequency (Hz)	   TP6/Control (g/g)
2.783203100e+02	   3.971386700e+00
2.789062500e+02	   4.135610600e+00
2.794921900e+02	   4.320653900e+00
2.800781300e+02	   4.505583300e+00
2.806640600e+02	   4.661929100e+00
2.812500000e+02	   4.949453800e+00
2.818359400e+02	   5.224147800e+00
2.824218800e+02	   5.458774600e+00
2.830078100e+02	   5.830412900e+00
2.835937500e+02	   6.052032900e+00
2.841796900e+02	   6.347713500e+00
2.847656300e+02	   6.743531700e+00
2.853515600e+02	   6.774436000e+00
2.859375000e+02	   6.858132400e+00
2.865234400e+02	   6.525732000e+00
2.871093800e+02	   6.048306000e+00
2.876953100e+02	   5.649716400e+00
2.882812500e+02	   5.239942100e+00
2.888671900e+02	   4.796195000e+00
2.894531300e+02	   4.368061100e+00
2.900390600e+02	   3.836274100e+00
2.906250000e+02	   3.514885700e+00
2.912109400e+02	   3.261042100e+00
2.917968800e+02	   2.858414600e+00
2.923828100e+02	   2.659203500e+00
2.929687500e+02	   2.429577800e+00
2.935546900e+02	   2.141926300e+00
2.941406300e+02	   1.932806000e+00
2.947265600e+02	   1.760192500e+00
2.953125000e+02	   1.554986700e+00
2.958984400e+02	   1.432359200e+00
2.964843800e+02	   1.350500700e+00
2.970703100e+02	   1.259862200e+00
2.976562500e+02	   1.162347900e+00
2.982421900e+02	   1.067796600e+00
2.988281300e+02	   9.814139000e-01
2.994140600e+02	   8.709604700e-01
3.000000000e+02	   7.809505500e-01
3.005859400e+02	   6.976820800e-01
3.011718800e+02	   6.145908800e-01
3.017578100e+02	   5.809547900e-01
3.023437500e+02	   5.354750800e-01
3.029296900e+02	   4.601061300e-01
3.035156300e+02	   4.145885700e-01
3.041015600e+02	   3.764772100e-01
3.046875000e+02	   3.489582800e-01
3.052734400e+02	   3.245270800e-01
3.058593800e+02	   3.062020500e-01
3.064453100e+02	   2.880713300e-01
3.070312500e+02	   2.431296100e-01
3.076171900e+02	   2.203675200e-01
3.082031300e+02	   1.974388700e-01
3.087890600e+02	   1.981749100e-01
3.093750000e+02	   1.936737000e-01
3.099609400e+02	   1.811822100e-01
3.105468800e+02	   1.920856200e-01
3.111328100e+02	   2.011515200e-01
3.117187500e+02	   2.083341000e-01
3.123046900e+02	   2.156128100e-01
3.128906300e+02	   2.254617100e-01
3.134765600e+02	   2.410968800e-01
3.140625000e+02	   2.563468500e-01
3.146484400e+02	   2.857106000e-01
3.152343800e+02	   3.031184700e-01
3.158203100e+02	   3.127705800e-01
3.164062500e+02	   3.274898500e-01
3.169921900e+02	   3.454646500e-01
3.175781300e+02	   3.617076900e-01
3.181640600e+02	   3.702266200e-01
3.187500000e+02	   3.768288800e-01
3.193359400e+02	   3.984786600e-01
3.199218800e+02	   4.125445500e-01
3.205078100e+02	   4.288514900e-01
3.210937500e+02	   4.335463600e-01
3.216796900e+02	   4.467070100e-01
3.222656300e+02	   4.653409100e-01
3.228515600e+02	   4.662206200e-01
3.234375000e+02	   4.892327200e-01
3.240234400e+02	   5.048254700e-01
3.246093800e+02	   5.154256800e-01
3.251953100e+02	   5.259599100e-01
3.257812500e+02	   5.411104600e-01
3.263671900e+02	   5.502022500e-01
3.269531300e+02	   5.571077500e-01
3.275390600e+02	   5.701006100e-01
3.281250000e+02	   5.793408800e-01
3.287109400e+02	   5.870478700e-01
3.292968800e+02	   6.025825100e-01
3.298828100e+02	   6.179003100e-01
3.304687500e+02	   6.211618800e-01
3.310546900e+02	   6.335390800e-01
3.316406300e+02	   6.404359300e-01
3.322265600e+02	   6.580123300e-01
3.328125000e+02	   6.667537100e-01
3.333984400e+02	   6.755667300e-01
3.339843800e+02	   6.817152500e-01
3.345703100e+02	   6.944708200e-01
3.351562500e+02	   6.938378200e-01
3.357421900e+02	   7.063471100e-01
3.363281300e+02	   7.077143200e-01
3.369140600e+02	   7.221624300e-01
3.375000000e+02	   7.321473400e-01
3.380859400e+02	   7.457639000e-01
3.386718800e+02	   7.507378500e-01
3.392578100e+02	   7.591811400e-01
3.398437500e+02	   7.518238400e-01
3.404296900e+02	   7.528397400e-01
3.410156300e+02	   7.700394400e-01
3.416015600e+02	   7.617958200e-01
3.421875000e+02	   7.693700800e-01
3.427734400e+02	   7.718653700e-01
3.433593800e+02	   7.782522400e-01
3.439453100e+02	   7.710982000e-01
3.445312500e+02	   7.761632200e-01
3.451171900e+02	   7.781443000e-01
3.457031300e+02	   7.734880400e-01
3.462890600e+02	   7.828260100e-01
3.468750000e+02	   7.840965400e-01
3.474609400e+02	   7.719081000e-01
3.480468800e+02	   7.898847500e-01
3.486328100e+02	   7.888984100e-01
3.492187500e+02	   7.978309400e-01
3.498046900e+02	   7.990772700e-01
3.503906300e+02	   8.002423000e-01
3.509765600e+02	   8.101241600e-01
3.515625000e+02	   8.371914600e-01
3.521484400e+02	   8.444108400e-01
3.527343800e+02	   8.337866100e-01
3.533203100e+02	   8.454701300e-01
3.539062500e+02	   8.535891800e-01
3.544921900e+02	   8.503096100e-01
3.550781300e+02	   8.631955400e-01
3.556640600e+02	   8.780109900e-01
3.562500000e+02	   8.815682500e-01
3.568359400e+02	   8.885210800e-01
3.574218800e+02	   9.113011400e-01
3.580078100e+02	   9.117243300e-01
3.585937500e+02	   9.171591400e-01
3.591796900e+02	   9.275460200e-01
3.597656300e+02	   9.266308000e-01
3.603515600e+02	   9.205983300e-01
3.609375000e+02	   9.432113200e-01
3.615234400e+02	   9.468289600e-01
3.621093800e+02	   9.594717600e-01
3.626953100e+02	   9.482021300e-01
3.632812500e+02	   9.571537400e-01
3.638671900e+02	   9.707498600e-01
3.644531300e+02	   9.883381700e-01
3.650390600e+02	   9.904316100e-01
3.656250000e+02	   9.985536900e-01
3.662109400e+02	   1.003434300e+00
3.667968800e+02	   1.031879800e+00
3.673828100e+02	   1.032408000e+00
3.679687500e+02	   1.023846100e+00
3.685546900e+02	   1.021162400e+00
3.691406300e+02	   1.025272400e+00
3.697265600e+02	   1.042920900e+00
3.703125000e+02	   1.051694000e+00
3.708984400e+02	   1.063292100e+00
3.714843800e+02	   1.068483700e+00
3.720703100e+02	   1.086522000e+00
3.726562500e+02	   1.108556900e+00
3.732421900e+02	   1.110741500e+00
3.738281300e+02	   1.102146400e+00
3.744140600e+02	   1.103118200e+00
3.750000000e+02	   1.125820500e+00
3.755859400e+02	   1.140737200e+00
3.761718800e+02	   1.133531600e+00
3.767578100e+02	   1.130170200e+00
3.773437500e+02	   1.129501000e+00
3.779296900e+02	   1.151604400e+00
3.785156300e+02	   1.163557100e+00
3.791015600e+02	   1.143306900e+00
3.796875000e+02	   1.157123300e+00
3.802734400e+02	   1.166662500e+00
3.808593800e+02	   1.172503000e+00
3.814453100e+02	   1.167292600e+00
3.820312500e+02	   1.164610700e+00
3.826171900e+02	   1.176833000e+00
3.832031300e+02	   1.205896100e+00
3.837890600e+02	   1.206413500e+00
3.843750000e+02	   1.233594200e+00
3.849609400e+02	   1.234536300e+00
3.855468800e+02	   1.221483700e+00
3.861328100e+02	   1.234155700e+00
3.867187500e+02	   1.247449900e+00
3.873046900e+02	   1.254872200e+00
3.878906300e+02	   1.253232000e+00
3.884765600e+02	   1.281314500e+00
3.890625000e+02	   1.290911400e+00
3.896484400e+02	   1.297616500e+00
3.902343800e+02	   1.291916100e+00
3.908203100e+02	   1.316912800e+00
3.914062500e+02	   1.343553200e+00
3.919921900e+02	   1.364685700e+00
3.925781300e+02	   1.358811600e+00
3.931640600e+02	   1.349794300e+00
3.937500000e+02	   1.335366100e+00
3.943359400e+02	   1.334511300e+00
3.949218800e+02	   1.364906500e+00
3.955078100e+02	   1.366482500e+00
3.960937500e+02	   1.386931300e+00
3.966796900e+02	   1.384971900e+00
3.972656300e+02	   1.391610700e+00
3.978515600e+02	   1.427423400e+00
3.984375000e+02	   1.461837800e+00
3.990234400e+02	   1.486502400e+00
3.996093800e+02	   1.471886300e+00
4.001953100e+02	   1.460109700e+00
4.007812500e+02	   1.462149600e+00
4.013671900e+02	   1.467104300e+00
4.019531300e+02	   1.492574700e+00
4.025390600e+02	   1.509801300e+00
4.031250000e+02	   1.483083800e+00
4.037109400e+02	   1.528758200e+00
4.042968800e+02	   1.497734100e+00
4.048828100e+02	   1.549621800e+00
4.054687500e+02	   1.550408000e+00
4.060546900e+02	   1.542040700e+00
4.066406300e+02	   1.561564800e+00
4.072265600e+02	   1.574616300e+00
4.078125000e+02	   1.600289000e+00
4.083984400e+02	   1.617559900e+00
4.089843800e+02	   1.598920100e+00
4.095703100e+02	   1.632885900e+00
4.101562500e+02	   1.677022800e+00
4.107421900e+02	   1.673490800e+00
4.113281300e+02	   1.664576800e+00
4.119140600e+02	   1.681152100e+00
4.125000000e+02	   1.745709100e+00
4.130859400e+02	   1.728897900e+00
4.136718800e+02	   1.750275300e+00
4.142578100e+02	   1.731171500e+00
4.148437500e+02	   1.722684700e+00
4.154296900e+02	   1.780974100e+00
4.160156300e+02	   1.792770300e+00
4.166015600e+02	   1.790186400e+00
4.171875000e+02	   1.851545500e+00
4.177734400e+02	   1.827362200e+00
4.183593800e+02	   1.855007100e+00
4.189453100e+02	   1.861392500e+00
4.195312500e+02	   1.887600900e+00
4.201171900e+02	   1.937171000e+00
4.207031300e+02	   1.909510400e+00
4.212890600e+02	   1.951922700e+00
4.218750000e+02	   1.918148200e+00
4.224609400e+02	   1.919224700e+00
4.230468800e+02	   1.960078600e+00
4.236328100e+02	   1.983039700e+00
4.242187500e+02	   2.017579800e+00
4.248046900e+02	   2.029858600e+00
4.253906300e+02	   2.011804300e+00
4.259765600e+02	   2.053380000e+00
4.265625000e+02	   2.065408900e+00
4.271484400e+02	   2.127375100e+00
4.277343800e+02	   2.204710500e+00
