Time (s)		Acceleration (g)	
9.140625e-002	-2.114601e+001			
9.156250e-002	-1.988774e+001			
9.171875e-002	-2.050877e+001			
9.187500e-002	-7.061953e+000			
9.203125e-002	8.646947e+000			
9.218750e-002	8.695199e+000			
9.234375e-002	1.152874e+001			
9.250000e-002	1.226753e+001			
9.265625e-002	1.293273e+001			
9.281250e-002	1.434908e+001			
9.296875e-002	4.899377e+000			
9.312500e-002	1.188295e-001			
9.328125e-002	-1.146213e+001			
9.343750e-002	-2.158052e+001			
9.359375e-002	-1.845302e+001			
9.375000e-002	-6.495293e+000			
9.390625e-002	2.598045e+000			
9.406250e-002	6.653732e+000			
9.421875e-002	1.879355e+001			
9.437500e-002	1.362818e+001			
9.453125e-002	-4.415536e+000			
9.468750e-002	-8.987592e+000			
9.484375e-002	-4.797831e+000			
9.500000e-002	-8.331029e+000			
9.515625e-002	-1.835724e+001			
9.531250e-002	-8.214720e+000			
9.546875e-002	-2.980580e+000			
9.562500e-002	3.157504e+000			
9.578125e-002	-4.398372e+000			
9.593750e-002	-2.927887e+000			
9.609375e-002	4.506999e+000			
9.625000e-002	-3.662230e+000			
9.640625e-002	1.272796e+000			
9.656250e-002	-1.123815e+001			
9.671875e-002	1.339725e+001			
9.687500e-002	3.522395e+001			
9.703125e-002	3.218119e+001			
9.718750e-002	1.559751e+001			
9.734375e-002	1.696513e+001			
9.750000e-002	1.225768e+001			
9.765625e-002	1.448040e+001			
9.781250e-002	-1.081109e+000			
9.796875e-002	-1.415848e+001			
9.812500e-002	-2.126796e+001			
9.828125e-002	-5.351529e+000			
9.843750e-002	-1.888033e+001			
9.859375e-002	-1.016448e+001			
9.875000e-002	-4.043564e+000			
9.890625e-002	4.143825e+001			
9.906250e-002	1.083065e+001			
9.921875e-002	7.171541e+000			
9.937500e-002	-5.500006e+000			
9.953125e-002	-8.478065e+000			
9.968750e-002	-2.153575e+001			
9.984375e-002	-2.488926e+001			
1.000000e-001	-2.306997e+001			
1.001563e-001	-8.964306e+000			
1.003125e-001	3.442815e+000			
1.004688e-001	2.798975e+000			
1.006250e-001	4.947629e-001			
1.007813e-001	8.732168e+000			
1.009375e-001	5.979285e+000			
1.010938e-001	5.582826e+000			
1.012500e-001	1.864783e+000			
1.014063e-001	1.188655e+001			
1.015625e-001	2.172251e+001			
1.017188e-001	2.403897e+001			
1.018750e-001	1.722884e+001			
1.020313e-001	2.274985e+001			
1.021875e-001	1.448376e+001			
1.023438e-001	1.332691e+001			
1.025000e-001	-1.806809e+001			
1.026563e-001	-2.255996e+001			
1.028125e-001	-2.648758e+001			
1.029688e-001	-1.948060e+001			
1.031250e-001	-9.059850e+000			
1.032813e-001	7.323019e-001			
1.034375e-001	8.601696e+000			
1.035938e-001	2.877702e+001			
1.037500e-001	2.651254e+001			
1.039063e-001	2.520770e+001			
1.040625e-001	1.103842e+001			
1.042188e-001	-4.766383e-001			
1.043750e-001	-9.552812e+000			
1.045313e-001	-7.825703e+000			
1.046875e-001	-1.169162e+001			
1.048438e-001	-7.611810e+000			
1.050000e-001	-2.152615e+000			
1.051563e-001	-4.952430e+000			
1.053125e-001	-5.680411e+000			
1.054688e-001	-6.266396e+000			
1.056250e-001	4.513481e+000			
1.057813e-001	1.927979e+001			
1.059375e-001	1.857425e+001			
1.060938e-001	1.456406e+001			
1.062500e-001	1.235743e+001			
1.064063e-001	1.469885e+001			
1.065625e-001	1.770200e+000			
1.067188e-001	-2.370589e-001			
1.068750e-001	-3.885365e+000			
1.070313e-001	-2.861991e+000			
1.071875e-001	-1.746410e+001			
1.073438e-001	-2.968061e+001			
1.075000e-001	-3.404610e+001			
1.076563e-001	-2.339693e+001			
1.078125e-001	-1.481252e+001			
1.079688e-001	-5.624957e+000			
1.081250e-001	-1.682578e+000			
1.082813e-001	1.214582e+000			
1.084375e-001	-1.874866e-001			
1.085938e-001	1.716306e+000			
1.087500e-001	-6.941444e+000			
1.089063e-001	-1.064796e+001			
1.090625e-001	-1.541099e+001			
1.092188e-001	-1.644360e+001			
1.093750e-001	-2.593388e+001			
1.095313e-001	-2.591468e+001			
1.096875e-001	-2.758417e+001			
1.098438e-001	-3.021510e+001			
1.100000e-001	-1.897947e+001			
1.101563e-001	-9.788071e+000			
1.103125e-001	1.121883e+001			
1.104688e-001	3.568090e+001			
1.106250e-001	3.640432e+001			
1.107813e-001	2.667146e+001			
1.109375e-001	1.064364e+001			
1.110938e-001	2.799935e+000			
1.112500e-001	-3.493707e+000			
1.114063e-001	-1.411707e+001			
1.115625e-001	-1.812390e+001			
1.117188e-001	9.428341e-001			
1.118750e-001	8.369678e-001			
1.120313e-001	-1.097156e+001			
1.121875e-001	-1.443971e+001			
1.123438e-001	1.142132e+001			
1.125000e-001	1.283959e+001			
1.126563e-001	2.293277e+001			
1.128125e-001	2.268515e+001			
1.129688e-001	1.389369e+001			
1.131250e-001	1.384352e+001			
1.132813e-001	1.894826e+001			
1.134375e-001	5.180006e+000			
1.135938e-001	6.730672e+000			
1.137500e-001	8.342672e+000			
1.139063e-001	1.093364e+001			
1.140625e-001	-2.165734e+001			
1.142188e-001	-3.205528e+001			
1.143750e-001	-3.751279e+001			
1.145313e-001	-3.116682e+001			
1.146875e-001	-2.202427e+001			
1.148438e-001	-2.110760e+001			
1.150000e-001	-4.018598e-001			
1.151563e-001	4.349556e+001			
1.153125e-001	2.764730e+001			
1.154688e-001	1.536910e+001			
1.156250e-001	7.376431e+000			
1.157813e-001	-3.109852e+000			
1.159375e-001	-2.857394e+001			
1.160938e-001	-3.066377e+001			
1.162500e-001	-3.449969e+001			
1.164063e-001	-1.904417e+001			
1.165625e-001	-1.068253e+001			
1.167188e-001	1.428955e+001			
1.168750e-001	1.195761e+001			
1.170313e-001	1.327938e+001			
1.171875e-001	9.769226e+000			
1.173438e-001	1.602422e+001			
1.175000e-001	1.444787e+001			
1.176563e-001	1.888825e+001			
1.178125e-001	9.631432e+000			
1.179688e-001	1.195821e+001			
1.181250e-001	4.199363e+000			
1.182813e-001	6.161130e+000			
1.184375e-001	1.009955e+001			
1.185938e-001	-2.108804e+000			
1.187500e-001	-1.324325e+001			
1.189063e-001	-2.999233e+001			
1.190625e-001	-2.550693e+001			
1.192188e-001	-2.782207e+001			
1.193750e-001	-4.244494e+000			
1.195313e-001	1.176292e+000			
1.196875e-001	4.158481e+001			
1.198438e-001	3.954718e+001			
1.200000e-001	3.935717e+001			
1.201563e-001	3.173876e+001			
1.203125e-001	2.250703e+001			
1.204688e-001	-2.003297e-001			
1.206250e-001	-1.706872e+001			
1.207813e-001	-1.769131e+001			
1.209375e-001	-3.265459e+001			
1.210938e-001	-5.895744e+000			
1.212500e-001	5.035490e+000			
1.214063e-001	-8.796985e-001			
1.215625e-001	-8.078006e-002			
1.217188e-001	2.797295e+000			
1.218750e-001	7.892320e+000			
1.220313e-001	7.830504e+000			
1.221875e-001	4.179318e+000			
1.223438e-001	9.118785e+000			
1.225000e-001	1.285975e+001			
1.226563e-001	-5.342167e+000			
1.228125e-001	-4.051966e+000			
1.229688e-001	1.173411e+000			
1.231250e-001	-4.001193e+000			
1.232813e-001	-1.062120e+001			
1.234375e-001	-8.692318e+000			
1.235938e-001	-2.747866e+001			
1.237500e-001	-1.786031e+001			
1.239063e-001	-2.023294e+001			
1.240625e-001	4.552010e+000			
1.242188e-001	1.736399e+001			
